,parameter,counts,counts_H,counts_NH,p_from_H,p_from_NH,priority
0,./Punctuation,52431,26334,26097,0.2927105795522753,0.2898571650709732,0.5022601132917549
1,영화/Noun,50383,25791,24592,0.2866749660983038,0.2731412577470733,0.5118988547724431
2,이/Josa,38256,20012,18244,0.22243958828890914,0.2026345602772286,0.5231074864073609
3,보다/Verb,38094,21677,16417,0.24094657981904274,0.18234222627007574,0.5690397437916732
4,하다/Verb,38002,18125,19877,0.20146499788809105,0.22077215274229736,0.5230514183464028
5,의/Josa,29457,17487,11970,0.19437342996243026,0.13294977452962214,0.593644974029942
6,가/Josa,27737,12332,15405,0.13707400573550008,0.1711020281227092,0.5553953203302447
7,에/Josa,27391,14054,13337,0.15621456994864727,0.1481329275606993,0.5130882406629915
8,../Punctuation,25849,11706,14143,0.13011582153257897,0.15708510118399716,0.547139154319316
9,을/Josa,23027,12500,10527,0.1389413778538559,0.11692249594597597,0.5428410127241934
10,.../Punctuation,22073,9139,12934,0.10158282017651113,0.14365684074905036,0.5859647533185339
11,은/Josa,19690,7739,11951,0.08602138585687927,0.13273874314147988,0.6069578466226511
12,도/Josa,18990,7903,11087,0.08784429673432186,0.12314236843858986,0.5838335966298052
13,들/Suffix,18507,8922,9585,0.09917079785696818,0.10645978186018615,0.5179121413519209
14,는/Josa,18035,7669,10366,0.08524331414089767,0.11513428260434946,0.5747712780704186
15,없다/Adjective,16914,5001,11913,0.05558766645177067,0.13231668036519537,0.7043277758070238
16,를/Josa,16639,8276,8363,0.09199030744948092,0.09288713152808939,0.5026143398040748
17,",/Punctuation",14719,7561,7158,0.08404286063624036,0.07950329875380412,0.513689788708472
18,있다/Adjective,13419,8187,5232,0.09100104483916147,0.05811138014527845,0.6101050748938073
19,좋다/Adjective,13043,9370,3673,0.10415045683925038,0.04079569940244796,0.7183930077436173
20,이/Determiner,12373,4495,7878,0.04996331947624658,0.08750027767287913,0.6367089630647378
21,너무/Adverb,11905,6629,5276,0.07368339150345686,0.05860008441255526,0.55682486350273
22,재밌다/Adjective,11789,9955,1834,0.11065291332281084,0.020370082413310526,0.8444312494698448
23,?/Punctuation,11319,3302,8017,0.036702754373874574,0.08904413888086722,0.7082781164413817
24,정말/Noun,10702,7082,3620,0.0787186270368806,0.04020703289868272,0.6617454681367969
25,것/Noun,10293,4088,6205,0.045439388213325035,0.06891840860119511,0.6028368794326241
26,되다/Verb,9887,5453,4434,0.0606117866749661,0.04924806184330364,0.551532315161323
27,같다/Adjective,9325,4691,4634,0.05214192028099504,0.051469444876380034,0.5030563002680966
28,진짜/Noun,9220,4526,4694,0.050307894093324146,0.05213585978630295,0.5091106290672451
29,이/Noun,9081,4359,4722,0.04845163728519663,0.05244685341093365,0.5199867855963
30,적/Suffix,9003,5486,3517,0.060978591912500275,0.03906302063664838,0.6093524380761969
31,으로/Josa,8921,4168,4753,0.046328613031589715,0.05279116778106049,0.5327878040578411
32,아니다/Adjective,8754,3210,5544,0.03568014583287019,0.06157673767687762,0.6333104866346813
33,않다/Verb,8640,4350,4290,0.048351599493141856,0.047648666059488635,0.5034722222222222
34,!/Punctuation,8565,6415,2150,0.07130471511459885,0.023879867605571228,0.7489784004670169
35,로/Josa,7951,3351,4600,0.03724740457506169,0.05109180976075705,0.5785435794239718
36,에서/Josa,7910,4218,3692,0.04688437854300514,0.04100673079059022,0.5332490518331227
37,점/Noun,7843,3227,4616,0.03586910610675144,0.05126952040340316,0.5885502996302435
38,만/Josa,7745,2412,5333,0.026810128270680033,0.05923317857698203,0.6885732730794061
39,나오다/Verb,7213,2894,4319,0.03216770780072472,0.04797076659928472,0.5987799805906003
40,만들다/Verb,7199,2506,4693,0.027854967432141033,0.05212475287113757,0.6518960966800944
41,연기/Noun,7089,4106,2983,0.04563946379743459,0.03313192793833441,0.5792072224573283
42,평점/Noun,7068,2994,4074,0.03327923882355557,0.04524957238376613,0.5764006791171478
43,과/Josa,6768,4231,2537,0.04702887757597315,0.02817824377457405,0.6251477541371159
44,최고/Noun,6671,6143,528,0.06828135073249894,0.005864451207321679,0.9208514465597362
45,한/Josa,6635,3102,3533,0.03447969232821288,0.03924073127929449,0.5324792765636774
46,이다/Verb,6524,4043,2481,0.044939199253051156,0.02755625652531266,0.6197118332311465
47,왜/Noun,6247,2241,4006,0.024909410221639287,0.044494302152520156,0.6412678085481031
48,스토리/Noun,6075,2176,3899,0.024186915056799235,0.04330586222982429,0.6418106995884774
49,인/Josa,6018,3216,2802,0.035746837694240044,0.03112157629340027,0.5343968095712861
50,생각/Noun,6005,3771,2234,0.04191583487095125,0.024812848479463315,0.6279766860949209
51,~/Punctuation,6003,4016,1987,0.04463908587688682,0.022069440433613967,0.6689988339163752
52,다/Josa,5815,2885,2930,0.03206767000866994,0.03254326143456916,0.5038693035253654
53,다/Adverb,5790,2454,3336,0.02727697130026899,0.03705266899171424,0.5761658031088083
54,이다/Josa,5692,2965,2727,0.03295689482693462,0.030288557655996622,0.5209065354884048
55,감동/Noun,5597,4442,1155,0.04937420803414623,0.012828487016016172,0.7936394497051992
56,..../Punctuation,5580,2218,3362,0.02465375808638819,0.03734144878601417,0.6025089605734767
57,1/Number,5284,1409,3875,0.01566147211168664,0.04303929626585512,0.7333459500378501
58,사람/Noun,5259,2583,2676,0.028710846319720783,0.029722104982562142,0.5088419851682829
59,이렇다/Adjective,5240,2243,2997,0.0249316408420959,0.033287424750649754,0.5719465648854962
60,보고/Noun,5209,3038,2171,0.03376831247360114,0.02411311282404425,0.5832213476674986
61,말/Noun,5179,2468,2711,0.027432585643465308,0.03011084701335051,0.5234601274377293
62,아깝다/Adjective,5167,374,4793,0.004157126025387369,0.053235444387675766,0.9276175730598026
63,더/Noun,5026,2595,2431,0.028844230042460485,0.02700091076704356,0.5163151611619579
64,드라마/Noun,5005,3017,1988,0.033534890958806664,0.02208054734877935,0.6027972027972028
65,내/Noun,4988,2441,2547,0.02713247226730098,0.02828931292622787,0.510625501202887
66,때/Noun,4940,3220,1720,0.03579129893515328,0.019103894084456983,0.6518218623481782
67,배우/Noun,4882,2357,2525,0.02619878620812307,0.028044960792589467,0.5172060630888979
68,ㅋㅋㅋ/KoreanParticle,4833,2528,2305,0.02809950425716382,0.025601439456205435,0.5230705565901097
69,재미있다/Adjective,4787,4102,685,0.04559500255652135,0.007608236888286647,0.8569041153123041
70,거/Noun,4783,1959,2824,0.021774892737256298,0.031365928427038677,0.5904244198201966
71,와/Josa,4779,2774,2005,0.0308338705733277,0.022269364906590844,0.5804561623770663
72,감독/Noun,4688,1515,3173,0.016839694995887337,0.03524224181975698,0.6768344709897611
73,ㅋㅋ/KoreanParticle,4594,2777,1817,0.030867216504012626,0.020181264855499034,0.6044841097083152
74,재미/Noun,4538,1752,2786,0.019474023519996442,0.03094386565075416,0.6139268400176289
75,내용/Noun,4529,1407,3122,0.01563924149123002,0.0346757891463225,0.6893353941267388
76,뭐/Noun,4491,831,3660,0.009236822799724341,0.040651309505298,0.8149632598530394
77,못/VerbPrefix,4418,1474,2944,0.016383967276526686,0.03269875824688451,0.666364870982345
78,그냥/Noun,4406,1187,3219,0.013193873241002156,0.03575315991736455,0.7305946436677259
79,고/Josa,4377,1761,2616,0.01957406131205122,0.029055690072639227,0.5976696367374914
80,까지/Josa,4353,2076,2277,0.023075384033968388,0.025290445831574738,0.5230875258442453
81,게/Josa,4340,1723,2617,0.019151679523375497,0.029066796987804608,0.6029953917050691
82,주다/Verb,4321,1728,2593,0.01920725607451704,0.02880023102383544,0.6000925711640824
83,안/VerbPrefix,4262,1318,2944,0.014649978880910566,0.03269875824688451,0.6907555138432661
84,재미없다/Adjective,4205,307,3898,0.003412400240090701,0.04329475531465891,0.9269916765755053
85,자다/Verb,4114,2658,1456,0.029544494586843918,0.016171668480796143,0.6460865337870686
86,좀/Noun,4111,1455,2656,0.016172776382188826,0.029499966679254502,0.6460715154463634
87,그/Noun,4099,2400,1699,0.026676744547940334,0.018870648865983962,0.5855086606489388
88,지루하다/Adjective,4057,872,3185,0.009692550519084988,0.03537552480174157,0.7850628543258565
89,하고/Josa,4024,1896,2128,0.02107462819287286,0.023635515471932825,0.5288270377733598
90,가다/Verb,4006,1941,2065,0.021574817153146745,0.022935779816513763,0.5154767848227658
91,!!/Punctuation,4005,3088,917,0.03432407798501656,0.010185041206655263,0.7710362047440699
92,시간/Noun,3956,1077,2879,0.011971189115888224,0.031976808761134685,0.7277553083923155
93,한/Determiner,3920,1604,2316,0.01782895760620679,0.025723615523024636,0.5908163265306122
94,쓰레기/Noun,3739,209,3530,0.0023230998377164708,0.039207410533798344,0.9441027012570206
95,들다/Verb,3702,1859,1843,0.02066336171442545,0.020470044649798964,0.5021609940572663
96,수/Noun,3698,2475,1223,0.02751039281506347,0.013583757247262145,0.6692806922660898
97,모르다/Verb,3669,1654,2015,0.018384723117622213,0.022380434058244664,0.5491959662033251
98,싶다/Verb,3517,1833,1684,0.02037436364848943,0.018704045138503232,0.5211828262723912
99,그렇다/Adjective,3501,1397,2104,0.015528088388946936,0.023368949507963657,0.6009711510996858
100,나/Noun,3501,1853,1648,0.0205966698530556,0.01830419619254948,0.5292773493287632
101,아/Exclamation,3469,1327,2142,0.014750016672965343,0.023791012284248174,0.617469011242433
102,알다/Verb,3393,1393,2000,0.015483627148033701,0.022213830330763934,0.5894488653109343
103,볼/Noun,3386,1865,1521,0.020730053575795302,0.01689361796654597,0.5507974010632014
104,작품/Noun,3308,2050,1258,0.02278638596803237,0.013972499278050514,0.6197097944377267
105,다시/Noun,3289,2763,526,0.03071160216081631,0.005842237376990914,0.8400729705077531
106,10/Number,3248,2158,1090,0.023986839472689682,0.012106537530266344,0.6644088669950738
107,마지막/Noun,3201,2151,1050,0.023909032301091523,0.011662260923651064,0.6719775070290535
108,보다/Josa,3196,1681,1515,0.018684836493786543,0.01682697647555368,0.5259699624530664
109,사랑/Noun,3190,2523,667,0.028043927706022275,0.007408312415309772,0.7909090909090909
110,잘/VerbPrefix,3151,2150,1001,0.023897916990863216,0.011118022080547348,0.682323072040622
111,하나/Noun,3087,1267,1820,0.014083098059266835,0.02021458560099518,0.5895691609977324
112,오다/Verb,3064,1619,1445,0.017995687259631417,0.01604949241397694,0.5283942558746736
113,이렇게/Adverb,3042,1309,1733,0.01454994108885579,0.01924828398160695,0.5696909927679158
114,요/Josa,3013,1950,1063,0.02167485494520152,0.011806650820801031,0.6471954862263525
115,처음/Noun,2995,1342,1653,0.014916746326389969,0.01835973076837639,0.5519198664440734
116,이다/Adjective,2942,2200,742,0.02445368250227864,0.00824133105271342,0.7477906186267845
117,나/Josa,2916,1029,1887,0.011437654224929417,0.020958748917075772,0.647119341563786
118,정도/Noun,2909,1293,1616,0.014372096125202854,0.01794877490725726,0.5555173599174974
119,2/Number,2878,1225,1653,0.013616255029677879,0.01835973076837639,0.574357192494788
120,많다/Adjective,2857,1696,1161,0.018851566147211167,0.012895128507008463,0.5936296814840742
121,완전/Noun,2851,1545,1306,0.01717315430273659,0.014505631205988849,0.5419151175026307
122,ㅋ/KoreanParticle,2712,1574,1138,0.017495498299357534,0.012639669458204678,0.5803834808259587
123,주인공/Noun,2708,1083,1625,0.012037880977258076,0.018048737143745695,0.6000738552437223
124,안되다/Adjective,2683,658,2025,0.007313874130226975,0.022491503209898484,0.7547521431233694
125,액션/Noun,2660,1278,1382,0.014205366471778228,0.015349756758557879,0.5195488721804511
126,나다/Verb,2654,1340,1314,0.014894515705933352,0.014594486527311904,0.5048982667671439
127,차다/Verb,2646,1269,1377,0.014105328679723451,0.015294222182730969,0.5204081632653061
128,인데/Josa,2629,1242,1387,0.013805215303559123,0.015405291334384789,0.5275770254849753
129,장면/Noun,2611,1425,1186,0.015839317075339573,0.013172801386143013,0.5457679050172348
130,중/Suffix,2597,1568,1029,0.017428806437987686,0.011429015705178043,0.6037735849056604
131,지금/Noun,2596,1843,753,0.020485516750772512,0.00836350711953262,0.7099383667180277
132,ㅠㅠ/KoreanParticle,2589,1842,747,0.020474401440544205,0.00829686562854033,0.7114716106604867
133,최악/Noun,2549,32,2517,0.0003556899273058711,0.02795610547126641,0.9874460572773637
134,지/Josa,2511,993,1518,0.011037503056710312,0.016860297221049824,0.6045400238948626
135,임/Noun,2511,1059,1452,0.011771113531778671,0.016127240820134617,0.5782556750298686
136,걸/Noun,2493,777,1716,0.008636596047395683,0.019059466423795454,0.6883273164861613
137,3/Number,2481,918,1563,0.010203854789587177,0.017360108403492013,0.6299879081015719
138,이야기/Noun,2465,1372,1093,0.015250205633239224,0.012139858275762489,0.5565922920892495
139,연출/Noun,2454,975,1479,0.01083742747260076,0.01642712752959993,0.6026894865525673
140,별로/Noun,2438,320,2118,0.003556899273058711,0.023524446320279006,0.8687448728465955
141,끝/Noun,2438,862,1576,0.009581397416801902,0.01750449830064198,0.6464315012305168
142,돈/Noun,2433,279,2154,0.0031011715536980638,0.023924295266232756,0.8853267570900123
143,느낌/Noun,2411,1154,1257,0.012827068003467976,0.013961392362885133,0.5213604313562837
144,좋아하다/Adjective,2390,1427,963,0.015861547695796188,0.010695959304262833,0.597071129707113
145,듯/Noun,2374,1137,1237,0.012638107729586732,0.013739254059577493,0.52106149957877
146,라/Josa,2373,987,1386,0.010970811195340461,0.015394184419219406,0.584070796460177
147,그리고/Conjunction,2339,1419,920,0.015772625213969722,0.01021836195215141,0.6066695168875588
148,역시/Noun,2323,1623,700,0.01804014850054465,0.007774840615767377,0.6986655187257856
149,넘다/Verb,2286,1520,766,0.016895271547028877,0.008507897016682586,0.6649168853893264
150,개/Noun,2277,671,1606,0.007458373163194984,0.01783770575560344,0.7053140096618358
151,명작/Noun,2259,1976,283,0.02196385301113754,0.0031432569918030968,0.8747233289065959
152,받다/Verb,2250,1080,1170,0.01200453504657315,0.012995090743496902,0.52
153,남다/Verb,2231,1452,779,0.0161394304515039,0.008652286913832552,0.6508292245629762
154,이런/Modifier,2201,819,1382,0.009103439076984639,0.015349756758557879,0.6278964107223989
155,그/Determiner,2183,1013,1170,0.011259809261276482,0.012995090743496902,0.5359596885020614
156,이해/Noun,2164,866,1298,0.009625858657715137,0.014416775884665793,0.5998151571164511
157,^^/Punctuation,2162,1921,241,0.021352510948580573,0.002676766554857054,0.8885291396854764
158,라고/Josa,2147,777,1370,0.008636596047395683,0.015216473776573295,0.6380996739636703
159,괜찮다/Adjective,2129,1444,685,0.016050507969677434,0.007608236888286647,0.678252700798497
160,ㅡㅡ/KoreanParticle,2128,211,1917,0.0023453304581730876,0.02129195637203723,0.9008458646616542
161,이영화/Noun,2102,1147,955,0.012749260831869818,0.010607103982939778,0.5456707897240723
162,안/Noun,2100,842,1258,0.009359091212235734,0.013972499278050514,0.599047619047619
