,combination,score
0,50000_50_0.65,81.74
1,50000_50_0.6,82.46
2,50000_50_0.55,82.52
3,50000_50_0.52,82.65
4,50000_50_0.5,82.58
5,50000_40_0.65,81.96
6,50000_40_0.6,82.64
7,50000_40_0.55,82.69
8,50000_40_0.52,82.77
9,50000_40_0.5,82.82
10,50000_30_0.65,82.19
11,50000_30_0.6,82.73
12,50000_30_0.55,82.79
13,50000_30_0.52,82.86
14,50000_30_0.5,82.87
15,50000_20_0.65,82.46
16,50000_20_0.6,82.78
17,50000_20_0.55,83.03
18,50000_20_0.52,83.06
19,50000_20_0.5,83.08
20,50000_10_0.65,82.81
21,50000_10_0.6,82.97
22,50000_10_0.55,83.24
23,50000_10_0.52,83.33
24,50000_10_0.5,83.31
25,50000_5_0.5,83.35
26,50000_3_0.5,83.39
27,50000_2_0.5,83.49
28,100000_1_0.5,83.53

