,combination,score
0,1000_300_0.65,76.43
1,1000_300_0.64,76.58
2,1000_300_0.63,76.59
3,1000_300_0.62,76.86
4,1000_300_0.61,76.93
5,1000_300_0.6,77.09
6,1000_300_0.59,77.26
7,1000_300_0.58,77.59
8,1000_300_0.57,77.62
9,1000_300_0.56,77.74
10,1000_300_0.55,77.73
11,1000_250_0.65,77.44
12,1000_250_0.64,77.56
13,1000_250_0.63,77.63
14,1000_250_0.62,77.92
15,1000_250_0.61,77.91
16,1000_250_0.6,78.08
17,1000_250_0.59,78.21
18,1000_250_0.58,78.53
19,1000_250_0.57,78.59
20,1000_250_0.56,78.56
21,1000_250_0.55,78.55
22,1000_200_0.65,78.25
23,1000_200_0.64,78.42
24,1000_200_0.63,78.55
25,1000_200_0.62,78.87
26,1000_200_0.61,78.9
27,1000_200_0.6,79.03
28,1000_200_0.59,79.04
29,1000_200_0.58,79.26
30,1000_200_0.57,79.08
31,1000_200_0.56,78.9
32,1000_200_0.55,78.8
33,1000_150_0.65,78.94
34,1000_150_0.64,79.12
35,1000_150_0.63,79.3
36,1000_150_0.62,79.49
37,1000_150_0.61,79.51
38,1000_150_0.6,79.46
39,1000_150_0.59,79.2
40,1000_150_0.58,79.38
41,1000_150_0.57,79.08
42,1000_150_0.56,78.9
43,1000_150_0.55,78.8
44,1000_100_0.65,79.54
45,1000_100_0.64,79.4
46,1000_100_0.63,79.49
47,1000_100_0.62,79.49
48,1000_100_0.61,79.51
49,1000_100_0.6,79.46
50,1000_100_0.59,79.2
51,1000_100_0.58,79.38
52,1000_100_0.57,79.08
53,1000_100_0.56,78.9
54,1000_100_0.55,78.8
55,1000_80_0.65,79.54
56,1000_80_0.64,79.4
57,1000_80_0.63,79.49
58,1000_80_0.62,79.49
59,1000_80_0.61,79.51
60,1000_80_0.6,79.46
61,1000_80_0.59,79.2
62,1000_80_0.58,79.38
63,1000_80_0.57,79.08
64,1000_80_0.56,78.9
65,1000_80_0.55,78.8
66,1100_300_0.65,76.43
67,1100_300_0.64,76.58
68,1100_300_0.63,76.59
69,1100_300_0.62,76.86
70,1100_300_0.61,76.93
71,1100_300_0.6,77.09
72,1100_300_0.59,77.26
73,1100_300_0.58,77.59
74,1100_300_0.57,77.62
75,1100_300_0.56,77.74
76,1100_300_0.55,77.73
77,1100_250_0.65,77.44
78,1100_250_0.64,77.56
79,1100_250_0.63,77.63
80,1100_250_0.62,77.92
81,1100_250_0.61,77.91
82,1100_250_0.6,78.08
83,1100_250_0.59,78.21
84,1100_250_0.58,78.53
85,1100_250_0.57,78.59
86,1100_250_0.56,78.56
87,1100_250_0.55,78.55
88,1100_200_0.65,78.25
89,1100_200_0.64,78.42
