,Unnamed: 0,parameter,counts,counts_H,counts_NH,p_from_H,p_from_NH,priority
0,11,은/Josa,19690,7739,11951,0.08603979104145826,0.1327550589750994,0.6069578466226511
1,15,없다/Adjective,16914,5001,11913,0.05560742469712127,0.13233301494924365,0.7043277758070238
2,18,있다/Adjective,13419,8187,5232,0.09101922863176616,0.05813101135076301,0.6101050748938073
3,19,좋다/Adjective,13043,9370,3673,0.10416805601867288,0.040816099868944224,0.7183930077436173
4,20,이/Determiner,12373,4495,7878,0.04998332777592531,0.08751860325640286,0.6367089630647378
5,22,재밌다/Adjective,11789,9955,1834,0.1106702234078026,0.020391390301872543,0.8444312494698448
6,23,?/Punctuation,11319,3302,8017,0.03672335222852062,0.08906239587729625,0.7082781164413817
7,24,정말/Noun,10702,7082,3620,0.07873735689674335,0.04022745951709279,0.6617454681367969
8,25,것/Noun,10293,4088,6205,0.045459597643659005,0.06893755969701681,0.6028368794326241
9,30,적/Suffix,9003,5486,3517,0.06099811048127154,0.03908349807858904,0.6093524380761969
10,32,아니다/Adjective,8754,3210,5544,0.035700789151939534,0.061596214931473374,0.6333104866346813
11,34,!/Punctuation,8565,6415,2150,0.07132377459153051,0.02390101956951509,0.7489784004670169
12,38,만/Josa,7745,2412,5333,0.026831165944203626,0.05925275994580066,0.6885732730794061
13,40,만들다/Verb,7199,2506,4693,0.02787595865288429,0.05214465003665119,0.6518960966800944
14,43,과/Josa,6768,4231,2537,0.0470490163387796,0.028199204780203917,0.6251477541371159
15,44,최고/Noun,6671,6143,528,0.06830054462598642,0.005886403518514404,0.9208514465597362
16,46,이다/Verb,6524,4043,2481,0.04495943092141825,0.02757724516315333,0.6197118332311465
17,47,왜/Noun,6247,2241,4006,0.024930532399688784,0.04451453830604856,0.6412678085481031
18,48,스토리/Noun,6075,2176,3899,0.02420806935645215,0.04332615118061263,0.6418106995884774
19,50,생각/Noun,6005,3771,2234,0.04193620095587418,0.02483395899509096,0.6279766860949209
20,51,~/Punctuation,6003,4016,1987,0.0446593308880738,0.022090672827028587,0.6689988339163752
21,55,감동/Noun,5597,4442,1155,0.049394242525286215,0.012850129945134276,0.7936394497051992
22,56,..../Punctuation,5580,2218,3362,0.024674891630543514,0.0373620027099669,0.6025089605734767
23,57,1/Number,5284,1409,3875,0.015683005446259866,0.043059597059019517,0.7333459500378501
24,62,아깝다/Adjective,5167,374,4793,0.004179170834722685,0.0532552922099558,0.9276175730598026
25,64,드라마/Noun,5005,3017,1988,0.03355562965432922,0.022101779248761638,0.6027972027972028
26,66,때/Noun,4940,3220,1720,0.03581193731243748,0.01912525822430529,0.6518218623481782
27,69,재미있다/Adjective,4787,4102,685,0.04561520506835612,0.007630111730602634,0.8569041153123041
28,72,감독/Noun,4688,1515,3173,0.016861175947538068,0.0352628890024212,0.6768344709897611
29,73,ㅋㅋ/KoreanParticle,4594,2777,1817,0.03088807380237857,0.02020258113241076,0.6044841097083152
30,74,재미/Noun,4538,1752,2786,0.01949538735133934,0.03096470379173238,0.6139268400176289
31,75,내용/Noun,4529,1407,3122,0.015660775814160276,0.03469646149403585,0.6893353941267388
32,76,뭐/Noun,4491,831,3660,0.009258641769478715,0.04067171638641463,0.8149632598530394
33,77,못/VerbPrefix,4418,1474,2944,0.0164054684894965,0.032719518425553665,0.666364870982345
34,78,그냥/Noun,4406,1187,3219,0.013215516283205513,0.035773784402141316,0.7305946436677259
35,81,게/Josa,4340,1723,2617,0.0191730576858953,0.0290877185188476,0.6029953917050691
