,Unnamed: 0,parameter,counts,counts_H,counts_NH,p_from_H,p_from_NH,priority
0,15,없다/Adjective,16914,5001,11913,0.05558766645177067,0.13231668036519534,0.7043277758070238
1,18,있다/Adjective,13419,8187,5232,0.09100104483916148,0.05811138014527845,0.6101050748938073
2,19,좋다/Adjective,13043,9370,3673,0.10415045683925038,0.04079569940244796,0.7183930077436173
3,20,이/Determiner,12373,4495,7878,0.04996331947624658,0.08750027767287913,0.6367089630647378
4,22,재밌다/Adjective,11789,9955,1834,0.11065291332281084,0.02037008241331053,0.8444312494698448
5,23,?/Punctuation,11319,3302,8017,0.036702754373874574,0.08904413888086722,0.7082781164413817
6,24,정말/Noun,10702,7082,3620,0.0787186270368806,0.04020703289868272,0.6617454681367969
7,32,아니다/Adjective,8754,3210,5544,0.035680145832870186,0.06157673767687762,0.6333104866346813
8,34,!/Punctuation,8565,6415,2150,0.07130471511459885,0.023879867605571228,0.7489784004670169
9,38,만/Josa,7745,2412,5333,0.026810128270680036,0.05923317857698202,0.6885732730794061
10,40,만들다/Verb,7199,2506,4693,0.027854967432141036,0.05212475287113757,0.6518960966800944
11,43,과/Josa,6768,4231,2537,0.04702887757597315,0.02817824377457405,0.6251477541371159
12,44,최고/Noun,6671,6143,528,0.06828135073249894,0.005864451207321679,0.9208514465597362
13,46,이다/Verb,6524,4043,2481,0.04493919925305116,0.02755625652531266,0.6197118332311465
14,47,왜/Noun,6247,2241,4006,0.024909410221639287,0.04449430215252016,0.6412678085481031
15,48,스토리/Noun,6075,2176,3899,0.02418691505679924,0.043305862229824285,0.6418106995884774
16,50,생각/Noun,6005,3771,2234,0.04191583487095125,0.024812848479463315,0.6279766860949209
17,51,~/Punctuation,6003,4016,1987,0.04463908587688682,0.02206944043361397,0.6689988339163752
18,55,감동/Noun,5597,4442,1155,0.04937420803414623,0.012828487016016172,0.7936394497051992
19,57,1/Number,5284,1409,3875,0.015661472111686642,0.04303929626585512,0.7333459500378501
20,62,아깝다/Adjective,5167,374,4793,0.004157126025387369,0.053235444387675766,0.9276175730598026
21,66,때/Noun,4940,3220,1720,0.03579129893515328,0.019103894084456983,0.6518218623481782
22,69,재미있다/Adjective,4787,4102,685,0.04559500255652135,0.0076082368882866465,0.8569041153123041
