,Unnamed: 0,parameter,counts,counts_H,counts_NH,p_from_H,p_from_NH,priority
0,17,?/Punctuation,11319,3302,8017,0.036702754373874574,0.08904413888086722,0.7082781164413817
1,18,정말/Noun,10702,7082,3620,0.0787186270368806,0.04020703289868272,0.6617454681367969
2,24,!/Punctuation,8565,6415,2150,0.07130471511459885,0.023879867605571228,0.7489784004670169
3,28,만/Josa,7745,2412,5333,0.026810128270680036,0.05923317857698202,0.6885732730794061
4,32,최고/Noun,6671,6143,528,0.06828135073249894,0.005864451207321679,0.9208514465597362
5,34,왜/Noun,6247,2241,4006,0.024909410221639287,0.04449430215252016,0.6412678085481031
6,35,스토리/Noun,6075,2176,3899,0.02418691505679924,0.043305862229824285,0.6418106995884774
7,38,~/Punctuation,6003,4016,1987,0.04463908587688682,0.02206944043361397,0.6689988339163752
8,42,감동/Noun,5597,4442,1155,0.04937420803414623,0.012828487016016172,0.7936394497051992
9,45,1/Number,5284,1409,3875,0.015661472111686642,0.04303929626585512,0.7333459500378501
10,52,때/Noun,4940,3220,1720,0.03579129893515328,0.019103894084456983,0.6518218623481782
11,57,감독/Noun,4688,1515,3173,0.016839694995887337,0.03524224181975698,0.6768344709897611
12,60,내용/Noun,4529,1407,3122,0.01563924149123002,0.0346757891463225,0.6893353941267388
13,61,뭐/Noun,4491,831,3660,0.009236822799724341,0.040651309505298,0.8149632598530394
14,62,못/VerbPrefix,4418,1474,2944,0.016383967276526686,0.032698758246884514,0.666364870982345
15,63,그냥/Noun,4406,1187,3219,0.013193873241002156,0.03575315991736455,0.7305946436677259
16,67,안/VerbPrefix,4262,1318,2944,0.014649978880910566,0.032698758246884514,0.6907555138432661
17,69,좀/Noun,4111,1455,2656,0.016172776382188826,0.029499966679254506,0.6460715154463634
18,71,없는/Adjective,4090,1373,2717,0.015261320943467532,0.0301774885043428,0.6643031784841076
19,73,!!/Punctuation,4005,3088,917,0.03432407798501656,0.010185041206655265,0.7710362047440699
20,74,시간/Noun,3956,1077,2879,0.011971189115888223,0.03197680876113468,0.7277553083923155
21,76,쓰레기/Noun,3739,209,3530,0.002323099837716471,0.03920741053379834,0.9441027012570206
22,78,수/Noun,3698,2475,1223,0.02751039281506347,0.013583757247262143,0.6692806922660898
23,83,없다/Adjective,3324,873,2451,0.009703665829313295,0.0272230490703512,0.7373646209386282
24,85,다시/Noun,3289,2763,526,0.030711602160816313,0.005842237376990914,0.8400729705077531
25,86,잘/Verb,3274,2363,911,0.02626547806949292,0.010118399715662972,0.7217470983506414
26,87,10/Number,3248,2158,1090,0.023986839472689682,0.012106537530266344,0.6644088669950738
27,88,마지막/Noun,3201,2151,1050,0.023909032301091523,0.011662260923651064,0.6719775070290535
28,90,사랑/Noun,3190,2523,667,0.028043927706022275,0.007408312415309772,0.7909090909090909
