,x,cnt
0,-6.500000,22
1,-6.260000,45
2,-6.020000,61
3,-5.780000,103
4,-5.540000,204
5,-5.300000,374
6,-5.060000,639
7,-4.820000,1084
8,-4.580000,1608
9,-4.340000,2314
10,-4.100000,3650
11,-3.860000,5269
12,-3.620000,7241
13,-3.380000,10107
14,-3.140000,13503
15,-2.900000,17908
16,-2.660000,22586
17,-2.420000,28524
18,-2.180000,33750
19,-1.940000,40099
20,-1.700000,46274
21,-1.460000,52231
22,-1.220000,57009
23,-0.980000,60025
24,-0.740000,63353
25,-0.500000,64000
26,-0.260000,63109
27,-0.020000,60377
28,0.220000,56789
29,0.460000,52346
30,0.700000,46142
31,0.940000,40350
32,1.180000,33745
33,1.420000,28460
34,1.660000,22499
35,1.900000,18007
36,2.140000,13623
37,2.380000,10152
38,2.620000,7351
39,2.860000,5080
40,3.100000,3452
41,3.340000,2420
42,3.580000,1657
43,3.820000,989
44,4.060000,599
45,4.300000,387
46,4.540000,218
47,4.780000,113
48,5.020000,74
49,5.260000,60
50,5.500000,18
