,x,cnt
0,-3.000000,5007
1,-2.950000,10015
2,-2.900000,10010
3,-2.850000,10000
4,-2.800000,9991
5,-2.750000,9975
6,-2.700000,10019
7,-2.650000,9997
8,-2.600000,9988
9,-2.550000,10021
10,-2.500000,10003
11,-2.450000,10011
12,-2.400000,9977
13,-2.350000,9994
14,-2.300000,10016
15,-2.250000,9981
16,-2.200000,10004
17,-2.150000,10017
18,-2.100000,10019
19,-2.050000,9985
20,-2.000000,9978
21,-1.950000,10001
22,-1.900000,10011
23,-1.850000,9978
24,-1.800000,10030
25,-1.750000,9996
26,-1.700000,10024
27,-1.650000,9987
28,-1.600000,9986
29,-1.550000,10012
30,-1.500000,9989
31,-1.450000,9988
32,-1.400000,10018
33,-1.350000,10024
34,-1.300000,9992
35,-1.250000,10004
36,-1.200000,9983
37,-1.150000,10018
38,-1.100000,9962
39,-1.050000,10018
40,-1.000000,10002
41,-0.950000,10021
42,-0.900000,9977
43,-0.850000,9991
44,-0.800000,10004
45,-0.750000,10016
46,-0.700000,9951
47,-0.650000,10016
48,-0.600000,10031
49,-0.550000,9997
50,-0.500000,10001
51,-0.450000,9974
52,-0.400000,10018
53,-0.350000,9981
54,-0.300000,9999
55,-0.250000,10002
56,-0.200000,10021
57,-0.150000,9990
58,-0.100000,10007
59,-0.050000,9974
60,0.000000,10028
61,0.050000,9969
62,0.100000,10012
63,0.150000,10022
64,0.200000,10014
65,0.250000,10001
66,0.300000,9983
67,0.350000,10000
68,0.400000,9994
69,0.450000,9983
70,0.500000,10011
71,0.550000,10027
72,0.600000,10011
73,0.650000,9992
74,0.700000,9973
75,0.750000,10025
76,0.800000,9978
77,0.850000,10000
78,0.900000,10016
79,0.950000,10018
80,1.000000,10008
81,1.050000,10007
82,1.100000,9963
83,1.150000,10010
84,1.200000,9979
85,1.250000,9995
86,1.300000,10012
87,1.350000,10017
88,1.400000,9999
89,1.450000,9980
90,1.500000,9994
91,1.550000,10009
92,1.600000,9992
93,1.650000,10004
94,1.700000,10011
95,1.750000,10008
96,1.800000,10012
97,1.850000,9966
98,1.900000,10003
99,1.950000,9997
100,2.000000,4975
