x,cnt
-6.500000,1
-6.260000,0
-6.020000,1
-5.780000,2
-5.540000,2
-5.300000,7
-5.060000,6
-4.820000,6
-4.580000,18
-4.340000,23
-4.100000,47
-3.860000,51
-3.620000,86
-3.380000,114
-3.140000,188
-2.900000,227
-2.660000,252
-2.420000,289
-2.180000,368
-1.940000,469
-1.700000,466
-1.460000,555
-1.220000,581
-0.980000,614
-0.740000,651
-0.500000,620
-0.260000,588
-0.020000,625
0.220000,532
0.460000,496
0.700000,428
0.940000,360
1.180000,306
1.420000,259
1.660000,210
1.900000,151
2.140000,122
2.380000,84
2.620000,62
2.860000,46
3.100000,26
3.340000,21
3.580000,18
3.820000,7
4.060000,8
4.300000,0
4.540000,2
4.780000,2
5.020000,1
5.260000,2
