x,cnt
-3.000000,0
-2.950000,0
-2.900000,2
-2.850000,1
-2.800000,0
-2.750000,0
-2.700000,1
-2.650000,3
-2.600000,1
-2.550000,3
-2.500000,1
-2.450000,3
-2.400000,0
-2.350000,0
-2.300000,1
-2.250000,0
-2.200000,0
-2.150000,4
-2.100000,1
-2.050000,1
-2.000000,0
-1.950000,1
-1.900000,1
-1.850000,0
-1.800000,0
-1.750000,2
-1.700000,1
-1.650000,1
-1.600000,1
-1.550000,2
-1.500000,0
-1.450000,3
-1.400000,0
-1.350000,0
-1.300000,3
-1.250000,3
-1.200000,0
-1.150000,2
-1.100000,0
-1.050000,2
-1.000000,2
-0.950000,0
-0.900000,1
-0.850000,1
-0.800000,1
-0.750000,1
-0.700000,0
-0.650000,1
-0.600000,1
-0.550000,2
-0.500000,2
-0.450000,1
-0.400000,0
-0.350000,2
-0.300000,1
-0.250000,1
-0.200000,1
-0.150000,2
-0.100000,1
-0.050000,0
0.000000,2
0.050000,0
0.100000,0
0.150000,2
0.200000,0
0.250000,3
0.300000,2
0.350000,0
0.400000,0
0.450000,0
0.500000,4
0.550000,0
0.600000,3
0.650000,1
0.700000,0
0.750000,0
0.800000,1
0.850000,0
0.900000,1
0.950000,1
1.000000,2
1.050000,0
1.100000,1
1.150000,1
1.200000,0
1.250000,2
1.300000,2
1.350000,0
1.400000,2
1.450000,1
1.500000,1
1.550000,0
1.600000,0
1.650000,0
1.700000,0
1.750000,1
1.800000,0
1.850000,0
1.900000,2
1.950000,0
